gauge_id,cluster
CH_2009,7
CH_2011,7
CH_2016,2
CH_2018,2
CH_2019,7
CH_2020,2
CH_2024,7
CH_2033,2
CH_2034,3
CH_2044,8
CH_2053,2
CH_2056,2
CH_2063,2
CH_2067,2
CH_2070,6
CH_2078,2
CH_2084,2
CH_2085,2
CH_2086,2
CH_2087,2
CH_2091,2
CH_2106,1
CH_2109,7
CH_2110,2
CH_2112,2
CH_2117,2
CH_2119,6
CH_2122,1
CH_2126,1
CH_2132,1
CH_2135,7
CH_2139,2
CH_2141,2
CH_2143,2
CH_2150,2
CH_2151,2
CH_2155,8
CH_2159,6
CH_2160,6
CH_2161,7
CH_2170,2
CH_2174,2
CH_2176,6
CH_2179,6
CH_2181,10
CH_2185,2
CH_2187,2
CH_2199,3
CH_2200,7
CH_2202,1
CH_2203,6
CH_2205,2
CH_2210,3
CH_2215,6
CH_2239,7
CH_2243,2
CH_2247,3
CH_2262,7
CH_2263,2
CH_2265,2
CH_2269,7
CH_2270,1
CH_2289,2
CH_2290,1
CH_2303,6
CH_2307,1
CH_2321,6
CH_2342,2
CH_2346,7
CH_2351,7
CH_2352,7
CH_2355,2
CH_2364,2
CH_2368,6
CH_2369,3
CH_2372,2
CH_2374,10
CH_2378,1
CH_2386,1
CH_2387,2
CH_2403,2
CH_2409,6
CH_2410,2
CH_2415,1
CH_2418,2
CH_2419,7
CH_2420,2
CH_2426,6
CH_2432,1
CH_2433,1
CH_2434,1
CH_2450,1
CH_2458,3
CH_2468,6
CH_2469,2
CH_2471,1
CH_2473,2
CH_2475,2
CH_2478,1
CH_2480,1
CH_2481,2
CH_2485,3
CH_2487,6
CH_2488,6
CH_2490,1
CH_2491,2
CH_2493,1
CH_2494,2
CH_2497,1
CH_2498,2
CH_2602,2
CH_2603,10
CH_2605,6
CH_2610,1
CH_2617,2
CH_2634,6
CH_3009,2
CH_3019,2
CH_3032,2
CH_3033,2
CH_4002,1
CH_4004,1
CH_4006,1
CH_4007,1
CH_4009,1
CH_4010,7
CH_4011,1
CH_4015,3
CH_4016,1
CH_4017,1
CH_4018,1
CH_4020,1
CH_5009,1
CH_5014,1
CH_5032,3
CL_1001001,7
CL_1001002,9
CL_1001003,9
CL_10100002,1
CL_10100006,1
CL_10102001,3
CL_10111001,3
CL_10121001,3
CL_10122001,3
CL_10122003,3
CL_10133000,5
CL_10134001,3
CL_10137001,3
CL_10140001,3
CL_10142003,3
CL_1020002,6
CL_1020003,9
CL_1021001,9
CL_1021002,5
CL_10304001,3
CL_10305001,3
CL_10306001,3
CL_10311001,3
CL_10313001,5
CL_10322003,1
CL_10327001,3
CL_10328001,3
CL_10340001,3
CL_10343001,3
CL_10343002,3
CL_10344003,3
CL_10344004,3
CL_10351001,3
CL_10356001,3
CL_10362001,3
CL_10363002,3
CL_10364001,3
CL_10401001,3
CL_10405001,3
CL_10405002,3
CL_10405005,3
CL_1041002,9
CL_10411002,3
CL_10414001,1
CL_10431000,3
CL_10431001,5
CL_10432002,3
CL_10432003,3
CL_10440000,3
CL_1044001,9
CL_1050002,9
CL_1050004,3
CL_10503001,3
CL_10514001,8
CL_10520001,8
CL_10523002,3
CL_10701002,8
CL_10702002,3
CL_10704002,8
CL_11020004,8
CL_11040001,8
CL_11130001,7
CL_11141001,1
CL_11143001,8
CL_11143002,0
CL_11147001,8
CL_11147002,7
CL_11151001,4
CL_11302001,1
CL_11307001,8
CL_11308001,8
CL_11310001,1
CL_11310002,6
CL_11310003,1
CL_11312001,6
CL_11314001,1
CL_11315001,8
CL_11316001,1
CL_11317001,1
CL_11335002,2
CL_11337001,2
CL_11342001,8
CL_11405001,2
CL_11500002,4
CL_11504001,2
CL_11505001,2
CL_11514001,7
CL_11520002,4
CL_11521001,6
CL_11530000,9
CL_11532000,7
CL_11536001,7
CL_11536004,7
CL_11542001,7
CL_11545000,7
CL_11701001,7
CL_11710000,9
CL_11711000,9
CL_1201001,9
CL_1201003,9
CL_1201005,9
CL_1210001,9
CL_1211001,9
CL_12280002,7
CL_12284002,6
CL_12284003,6
CL_12284005,1
CL_12284006,6
CL_12284007,6
CL_12285001,5
CL_12285003,1
CL_12286002,2
CL_12287001,7
CL_12288002,7
CL_12288003,4
CL_12288004,7
CL_12289001,7
